index,original_title,artist,startYear,endYear,image,url,museum,title,place,material,description,art_id_1,art_id_2,art_id_3,art_id_4,art_id_5,art_id_6,art_id_7,art_id_8,art_id_9,art_id_10
1915,À la villa Farnèse: le mur,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064169/0001012237_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064169,louvre museum,At Villa Farnese: the wall,Valencian  Pierre of,oil on paper glue on cardboard,registration annotation on the assembly has villa farne roma,1940,1980,1894,1896,1972,1943,1939,1895,1882,1914
1916,Environs du lac de Nemi: arbres et rochers,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064175/0001026744_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064175,louvre museum,Surroundings of Lake Nemi: trees and rocks,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly there the girlfriend said nemi,1926,1978,1948,1920,1955,1977,1959,1936,1901,1880
1917,Les Monts Albains,"Valenciennes, Pierre de ; France",1782.0,1786.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064179/0001012302_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064179,louvre museum,The Alban Mountains,Valencian  Pierre of,oil on paper glue on cardboard,registration i mounted and the campaigned  albano has roma,1908,1947,1878,1881,1970,1910,1885,1938,1937,1899
1918,Le Lac de Nemi sous la pluie,"Valenciennes, Pierre de ; France",1787.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000064182/0001012229_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064182,louvre museum,Nemi Lake in the rain,Valencian  Pierre of,oil on paper glue on cardboard,registration to back rain to nemi of the doz,1928,1890,1945,1964,1979,1956,1966,1978,1960,1880
1919,Paysage boisé à Nemi,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064196/0001026741_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064196,louvre museum,Wooded landscape at Nemi,Valencian  Pierre of,oil on paper glue on cardboard,registration has nemi,1919,1897,1964,1979,1880,1956,1950,1890,1958,1966
1920,Nemi: Les trois arbres,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064258/0001012252_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064258,louvre museum,Nemi: The Three Trees,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly has nemi,1977,1927,1904,1880,1978,1926,1936,1916,1979,1964
1921,À Rocca di Papa: le grand arbre,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064272/0001012278_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064272,louvre museum,In Rocca di Papa: the big tree,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has the rock of the father the dz,1923,1954,1913,1957,1949,1899,1965,1885,1970,1935
1922,"Tronc d'arbre, racines et feuilles","Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000063756/0001012298_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010063756,louvre museum,"Tree trunk, roots and leaves",Valencian  Pierre of,oil on paper glue on cardboard,registration to back,1962,1965,1906,1935,1963,1885,1908,1973,1899,1977
1923,"À Rocca di Papa, le Monte Cavo","Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000063761/0001012300_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010063761,louvre museum,"In Rocca di Papa, the Monte Cavo",Valencian  Pierre of,oil on paper glue on cardboard,registration to back rock of the father of the doz,1949,1954,1921,1913,1957,1905,1902,1899,1970,1947
1924,Ruines d'une arcade touffée d'herbes,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000066226/0001012301_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010066226,louvre museum,Ruins of a grass tufted arcade,Valencian  Pierre of,oil on paper glue on cardboard,registration to back,1941,1881,1885,1951,1962,1910,1935,1899,1973,1970
1925,À la villa Farnèse: l'arbre rose,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064164/0001026780_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064164,louvre museum,At Villa Farnese: the pink tree,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has villa farneze,1929,1969,1889,1943,1886,1891,1894,1975,1940,1884
1926,Le Lac de Nemi et Genzano,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064166/0001026776_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064166,louvre museum,Lake Nemi and Genzano,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly he the girlfriend said nemi,1916,1955,1948,1978,1936,1920,1959,1904,1927,1964
1927,Nemi: l'arc-en-ciel,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064167/0001012258_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064167,louvre museum,Nemi: the rainbow,Valencian  Pierre of,oil on paper glue on cardboard,registration annotations on the assembly nemi,1904,1920,1979,1977,1964,1880,1926,1936,1978,1960
1928,Le Lac de Nemi sous la pluie; dit aussi : pluie sur le P[alais] de Nemi,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064168/0001026770_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064168,louvre museum,Nemi Lake in the rain; also says: rain on the P[alais] of Nemi,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly pioggia sopra he the girlfriend of nemi,1956,1918,1964,1948,1945,1926,1880,1890,1978,1979
1929,À la villa Borghèse: arbres et fabriques,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064176/0001026747_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064176,louvre museum,At the Villa Borghese: trees and factories,Valencian  Pierre of,oil on paper glue on cardboard,registration has villa borguez,1884,1925,1969,1975,1886,1939,1940,1976,1889,1893
1930,Jardins de la villa Borghèse,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064192/0000779457_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064192,louvre museum,Gardens of Villa Borghese,Valencian  Pierre of,oil on paper glue on cardboard,registration  after the form of i workshop of restoration villa boguese has roma,1980,1972,1896,1891,1894,1939,1929,1914,1940,1893
1931,Les Thermes de Caracalla,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064201/0001026761_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064201,louvre museum,The Baths of Caracalla,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly finished of caracalla has roma,1881,1968,1878,1938,1910,1917,1974,1885,1935,1973
1932,"À la Fayolle, près de Nemi : forêt et fonds, dit aussi: Clairière d'un sous-bois","Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064203/0001026757_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064203,louvre museum,"At La Fayolle, near Nemi: forest and funds, also known as: Clearing of an undergrowth",Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly the fayolla,1903,1887,1892,1901,1966,1880,1936,1959,1955,1916
1933,"À la villa Borghèse, dit aussi: Vue des environs de Rome","Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064216/0001012280_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064216,louvre museum,"At the Villa Borghese, also known as: View of the surroundings of Rome",Valencian  Pierre of,oil on paper glue on cardboard,registration to back seen to the surroundings of rome of the doz in high of assembly mounted cavallo,1911,1937,1878,1938,1944,1983,1889,1917,1885,1907
1934,À la villa Farnèse,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064217/0000390396_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064217,louvre museum,At Villa Farnese,Valencian  Pierre of,oil on paper glue on cardboard,registration to back villa farnese of the doz,1889,1943,1969,1975,1940,1925,1895,1886,1915,1894
1935,Le Cyprès,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064224/0001026769_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064224,louvre museum,The Cypress,Valencian  Pierre of,oil on paper glue on cardboard,registration to back,1899,1965,1885,1962,1977,1920,1927,1978,1890,1979
1936,Montagnes dominant le lac de Nemi,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064225/0001012286_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064225,louvre museum,Mountains overlooking Lake Nemi,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly nemi,1904,1964,1880,1978,1903,1926,1920,1927,1890,1897
1937,"Sur les pentes du Quirinal, dit aussi: Vue de Rome prise de Monte Cavallo","Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064227/0001012235_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064227,louvre museum,"On the slopes of the Quirinal, also known as: View of Rome taken from Monte Cavallo",Valencian  Pierre of,oil on paper glue on cardboard,registration annotation has mounted riding hey roma,1917,1908,1952,1970,1947,1910,1933,1878,1911,1938
1938,Rome : maisons dominées par un dôme,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064232/0001012239_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064232,louvre museum,Rome: houses dominated by a dome,Valencian  Pierre of,oil on paper glue on cardboard,registration in high in margin has roma,1917,1910,1881,1878,1908,1885,1911,1971,1937,1931
1939,À la villa Borghèse: les nuages blancs,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064233/0000370742_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064233,louvre museum,At the Villa Borghese: the white clouds,Valencian  Pierre of,oil on paper glue on cardboard,registration on the assembly has villa boorgueze roma,1896,1914,1980,1893,1891,1940,1943,1894,1925,1915
1940,À la villa Farnèse: le moulin,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064238/0001026772_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064238,louvre museum,At Villa Farnese: the mill,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly has villa farne,1915,1894,1972,1896,1882,1943,1925,1939,1980,1895
1941,Ruines d'une arcade touffée d'herbes,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064256/0001026736_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064256,louvre museum,Ruins of a grass tufted arcade,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has rome of the doz,1924,1885,1881,1910,1951,1944,1899,1970,1908,1917
1942,Tête de femme de profil à droite,"Valenciennes, Pierre de ; France",,,https://collections.louvre.fr/media/cache/large/0000000021/0000064132/0001012277_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064132,louvre museum,Head of a woman in profile to the right,Valencian  Pierre of,oil on cloth,study unfinished,655,2324,1962,1922,3756,1970,3314,1909,1963,3322
1943,Fabriques à la villa Farnèse: les deux peupliers,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064145/0001026767_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064145,louvre museum,Factories at the Villa Farnese: the two poplars,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has villa farneze roma,1895,1889,1894,1925,1896,1940,1915,1980,1939,1891
1944,À Rome: étude de ciel chargé de nuages,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064147/0001012251_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064147,louvre museum,In Rome: study of cloud-laden sky,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has rome of the doz,1911,1885,1881,1951,1941,1952,1910,1933,1970,1908
1945,À Nemi: rochers et buissons,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064148/0001012248_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064148,louvre museum,In Nemi: rocks and bushes,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has nemi of the doz,1979,1890,1964,1948,1960,1978,1977,1927,1904,1897
1946,Paysage boisé à Nemi,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064159/0001012247_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064159,louvre museum,Wooded landscape at Nemi,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has nemi of the dz,1946,1897,1964,1979,1880,1956,1950,1890,1958,1966
1947,Les Monts de Velletri et les marais de Nemi,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064160/0001012261_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064160,louvre museum,The Velletri Mountains and the Nemi Marshes,Valencian  Pierre of,oil on paper glue on cardboard,registration to back mounted said velletri vicino have malaria,1904,1917,1936,1890,1959,1977,1955,1926,1945,1960
1948,À Nemi : rochers et buissons,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064163/0001098676_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064163,louvre museum,In Nemi: rocks and bushes,Valencian  Pierre of,oil on paper glue on cardboard,registration there the girlfriend said nemi,1926,1945,1916,1964,1979,1978,1982,1880,1958,1928
1949,À la Rocca di Papa: le Monte Cavo,"Valenciennes, Pierre de ; France",1780.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000064180/0001012256_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064180,louvre museum,At the Rocca di Papa: Monte Cavo,Valencian  Pierre of,oil on paper glue on cardboard,registration in high of assembly rock of the father has nemi,1923,1954,1913,1957,1921,1902,1905,1899,1977,1945
1950,Vue à Nemi,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064183/0001012296_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064183,louvre museum,View in Nemi,Valencian  Pierre of,oil on paper glue on cardboard,registration to back seen to nemi,1979,1897,1964,1958,1919,1946,1960,1890,1945,1927
1951,La Pyramide de Cestius à Rome,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064202/0001026755_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064202,louvre museum,The Pyramid of Cestius in Rome,Valencian  Pierre of,oil on paper glue on cardboard,registration illegible,1885,1881,1973,1910,1952,1899,1968,1944,1941,1935
1952,Vue prise à Rome,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064212/0001012285_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064212,louvre museum,View taken in Rome,Valencian  Pierre of,oil on paper glue on cardboard,registration to front has roma,1881,1968,1910,1937,1885,1951,1911,1899,1917,1944
1953,Vue du lac de Nemi au pied d'une maison rustique,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064213/0001012303_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064213,louvre museum,View of Lake Nemi at the foot of a rustic house,Valencian  Pierre of,oil on paper glue on cardboard,registration to back he the girlfriend said,1955,1959,1948,1926,1916,1936,1880,1982,1958,1964
1954,À Rocca di Papa: le Monte Cavo sous un ciel nuageux,"Valenciennes, Pierre de ; France",1817.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000064230/0001012283_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064230,louvre museum,In Rocca di Papa: Monte Cavo under a cloudy sky,Valencian  Pierre of,oil on paper glue on cardboard,registration to back rock of the father of the doz,1923,1949,1921,1913,1957,1905,1902,1970,1899,1885
1955,Vue du lac de Nemi et Genzano,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064235/0001026774_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064235,louvre museum,View of Lake Nemi and Genzano,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly the girlfriend said nemi has genzano double,1959,1926,1916,1948,1936,1978,1964,1904,1901,1903
1956,"Chemin rocheux près du lac de Nemi, dit aussi : Nemi. Rochers","Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064237/0001026771_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064237,louvre museum,"Rocky path near Lake Nemi, also called: Nemi. Rocks",Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly has nemi,1964,1928,1903,1880,1919,1946,1897,1966,1890,1945
1957,A Rocca di Papa: montagnes cachées dans les nuages,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064248/0001012249_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064248,louvre museum,A Rocca di Papa: mountains hidden in the clouds,Valencian  Pierre of,oil on paper glue on cardboard,registration to back rock said father of the doz,1957,1923,1921,1949,1954,1899,1947,1970,1885,1974
1958,À Nemi: constructions sur une hauteur,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064255/0001012242_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064255,louvre museum,In Nemi: constructions on a height,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has nemi of the dz,1964,1897,1950,1979,1960,1919,1946,1880,1904,1936
1959,Le lac de Nemi: au loin la ville de Genzano,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000066225/0001026758_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010066225,louvre museum,Lake Nemi: in the distance the town of Genzano,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly he the girlfriend said nemi and genzano,1955,1926,1916,1948,1936,1903,1964,1978,1904,1928
1960,Le Palais de Nemi,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000066227/0001012246_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010066227,louvre museum,Nemi's Palace,Valencian  Pierre of,oil on paper glue on cardboard,registration to setback nemi of the doz,1979,1982,1945,1964,1890,1958,1950,1927,1904,1897
1961,À la villa Farnèse: ruines romaines,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000066346/0000377553_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010066346,louvre museum,At Villa Farnese: Roman Ruins,Valencian  Pierre of,oil on paper glue on cardboard,registration annotation on the assembly has villa farez the in part erased sometimes read,1915,1907,1972,1886,1943,1940,1980,1889,1894,1934
1962,Étude de ciel au Quirinal,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000066749/0001026749_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010066749,louvre museum,Sky Study at the Quirinal,Valencian  Pierre of,oil on paper glue on cardboard,registration in high toward the left,1908,1970,1885,1965,1899,1935,1922,1974,1973,1881
1963,Nemi. Étude de troncs et racines,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000063758/0001026740_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010063758,louvre museum,Nemi. Study of trunks and roots,Valencian  Pierre of,oil on paper glue on cardboard,registration on the assembly has nemi,1920,1927,1977,1904,1880,1936,1926,1978,1964,1897
1964,Le lac de Nemi et Genzano,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000063759/0001012299_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010063759,louvre museum,Lake Nemi and Genzano,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has nemi,1890,1979,1897,1945,1936,1978,1919,1946,1956,1904
1965,Le grand arbre,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000063763/0001012232_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010063763,louvre museum,The big tree,Valencian  Pierre of,oil on paper glue on cardboard,registration to back not,1935,1962,1885,1906,1899,1922,1973,1951,1881,1921
1966,"À la Fayolle, près de Nemi: collines boisées","Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000063764/0001012254_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010063764,louvre museum,"At La Fayolle, near Nemi: wooded hills",Valencian  Pierre of,oil on paper glue on cardboard,registration to back the fayolla prossimo has nemi of the doz,1903,1964,1890,1901,1956,1919,1946,1887,1945,1936
1967,"Forêt de la villa Borghèse, dit aussi Arbres à la Villa Borghèse","Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000063762/0001012231_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010063762,louvre museum,"Forest of Villa Borghese, also known as Trees at Villa Borghese",Valencian  Pierre of,oil on paper glue on cardboard,registration to back villa borghese of the doz,1888,1879,1976,1884,1929,1882,1939,1980,1914,1893
1968,Vue de la Porte du Peuple à Rome,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000067093/0001098675_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010067093,louvre museum,View of the People's Gate in Rome,Valencian  Pierre of,oil on paper glue on cardboard,registration on the assembly carried of the popolo in roma,1952,1881,1910,1951,1931,1885,1899,1911,1917,1938
1969,À la villa Farnèse: bâtiments entourés d'arbres,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064223/0000388020_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064223,louvre museum,At Villa Farnese: buildings surrounded by trees,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has villa farn ese,1925,1975,1929,1889,1884,1886,1940,1943,1972,1934
1970,Étude de ciel au Quirinal,"Valenciennes, Pierre de ; France",1817.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000064226/0001012236_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064226,louvre museum,Sky Study at the Quirinal,Valencian  Pierre of,oil on paper glue on cardboard,registration to back mounted cavallo of the doz,1908,1885,1899,1917,1962,1947,1878,1937,1974,1881
1971,Vue du couvent de l'Ara Coeli: le pin parasol,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064228/0001012312_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064228,louvre museum,View of the Ara Coeli convent: the umbrella pine,Valencian  Pierre of,oil on paper glue on cardboard,registration the madonna della reccily in roma,1912,1938,1968,1910,1881,1949,1952,1937,1983,1885
1972,À la villa Farnèse: les maisons sur la colline,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064236/0001026768_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064236,louvre museum,At Villa Farnese: the houses on the hill,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly has villa farneza in ro my,1894,1940,1980,1889,1896,1915,1891,1914,1943,1930
1973,Pyramide et arc-en-ciel,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064239/0000367488_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064239,louvre museum,pyramid and rainbow,Valencian  Pierre of,oil on paper glue on cardboard,registration to back viccino the rest torn,1951,1885,1965,1899,1935,1962,1931,1881,1910,1892
1974,Les Environs de Genzano,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064241/0001012244_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064241,louvre museum,Genzano Surroundings,Valencian  Pierre of,oil on paper glue on cardboard,registration in high on the assembly accanto genzano,1892,1955,1901,1959,1978,1926,1916,1977,1887,1899
1975,À la Villa Farnèse: arbre devant une maison rustique,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064253/0001026734_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064253,louvre museum,At Villa Farnese: tree in front of a rustic house,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has villa farne doz,1969,1889,1925,1886,1929,1884,1894,1943,1940,1934
1976,À la Villa Borghèse: ruisseau coulant parmi les arbres,"Valenciennes, Pierre de ; France",1800.0,1825.0,https://collections.louvre.fr/media/cache/original/0000000021/0000064254/0000390702_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064254,louvre museum,At Villa Borghese: stream flowing among the trees,Valencian  Pierre of,oil on paper glue on cardboard,registration to back of the doz to the villa borghese,1879,1967,1929,1884,1888,1893,1975,1925,1914,1939
1977,Nemi: trois arbres,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000066396/0001012284_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010066396,louvre museum,Nemi: three trees,Valencian  Pierre of,oil on paper glue on cardboard,registration to back and to front on the assembly in low to i towards and hidden has nemi of the doz,1920,1927,1904,1880,1979,1978,1945,1916,1964,1926
1978,Environs du lac de Nemi: rochers,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064165/0001026779_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064165,louvre museum,Surroundings of Lake Nemi: rocks,Valencian  Pierre of,oil on paper glue on cardboard,registration in high of assembly has nemi,1916,1901,1964,1945,1936,1926,1920,1977,1890,1904
1979,Nemi: l'arc-en-ciel,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064172/0001012306_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064172,louvre museum,Nemi: the rainbow,Valencian  Pierre of,oil on paper glue on cardboard,registration to back has nemi of the doz,1964,1945,1960,1927,1897,1890,1950,1904,1919,1946
1980,À la villa Borghèse : groupe de maisons,"Valenciennes, Pierre de ; France",1782.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064178/0001012274_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064178,louvre museum,At Villa Borghese: group of houses,Valencian  Pierre of,oil on paper glue on cardboard,registration to back on the assembly has villa burghezia roma,1896,1894,1972,1915,1939,1891,1914,1940,1893,1943
1981,"Ciel à la villa Borghèse, dit aussi :Lande sous un grand ciel","Valenciennes, Pierre de ; France",1777.0,1784.0,https://collections.louvre.fr/media/cache/large/0000000021/0000064194/0001026750_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010064194,louvre museum,"Sky at the Villa Borghese, also known as: Lande under a great sky",Valencian  Pierre of,oil on paper glue on cardboard,registration in high of assembly has villa burghezia has roma,1893,1914,1891,1939,1896,1889,1894,1925,1886,1943
